Y,X,Z
-80,40.440309,115.74
-80.0068,40.440271,119.24
-80.0067,40.440229,118.96
-80.0066,40.440189,118.68
-80.0065,40.440146,118.4
-80,40.440095,118.12
-80.0062,40.440054,117.84
-80.006,40.440009,117.56
-80.006,40.439962,117.27
-80.0058,40.439914,116.99
-80.0057,40.439866,116.71
-80.0056,40.439818,116.43
-80.0054,40.439769,116.15
-80.0053,40.43972,115.87
-80.0052,40.439672,115.59
-80.005,40.439605,115.31
-80.0048,40.439524,115.02
-80.004,40.439475,114.74
-80.0045,40.439428,114.46
-80.0044,40.439381,114.18
-80.0043,40.439334,113.9
-80.0042,40.43929,113.62
-80.004,40.439246,113.34
-80.0039,40.4392,113.06
-80.0038,40.439157,112.77
-80.0037,40.439115,112.49
-80.0036,40.439064,112.21
-80.0034,40.439008,111.93
-80.0033,40.438959,111.65
-80.0031,40.438908,111.37
-80.003,40.438859,111.09
-80.0029,40.438815,110.81
-80.0028,40.438776,110.52
-80.0026,40.438732,110.24
-80.0025,40.438692,109.96
-80.0024,40.438648,109.68
-80.0023,40.438607,109.4
-80.0022,40.438559,109.12
-80.002,40.438507,108.84
-80.0019,40.438459,108.56
-80.0053,40.439079,117.54
-80.005,40.439025,121.04
-80.005,40.438926,120.76
-80.0049,40.438885,120.48
-80.004,40.438836,120.2
-80.0046,40.438792,119.92
-80.0047,40.438674,119.64
-80.0048,40.438594,119.36
-80.0049,40.438364,119.07
-80.004,40.438535,117.77
-80.0038,40.43846,121.27
-80.0037,40.438417,120.99
-80.0035,40.438369,120.71
-80.0034,40.438327,120.43
-80.0033,40.438285,120.15
-80.0032,40.438243,119.87
-80.003,40.438198,119.59
-80.003,40.43815,119.3
-80.002,40.438106,119.02
-80.0027,40.438064,118.74
-80.0026,40.438017,118.46
-80.0025,40.437976,118.18
-80.0024,40.437928,117.9
-80.0023,40.437883,117.62
-80.0021,40.437832,117.34
-80.002,40.43779,117.05
-80.0019,40.437748,116.77
-80.0018,40.437704,116.49
-80.0016,40.437658,116.21
-80.001,40.437619,115.93
-80.0047,40.440054,114.02
-80.0045,40.439982,117.52
-80.0044,40.439937,117.24
-80.0042,40.439886,116.96
-80.0041,40.439843,116.68
-80.004,40.439802,116.4
-80.003,40.439748,116.12
-80,40.439698,115.84
-80.0036,40.439652,115.55
-80.0035,40.439608,115.27
-80.003,40.439563,114.99
-80.0033,40.439516,114.71
-80.0031,40.439461,114.43
-80.003,40.439414,114.15
-80.0029,40.439365,113.87
-80.0028,40.439316,113.59
-80.0026,40.439267,113.3
-80.0025,40.439221,113.02
-80.0024,40.439173,112.74
-80.0022,40.439122,112.46
-80.0021,40.439068,112.18
-80.002,40.439014,111.9
-80.0019,40.438974,111.62
-80.0017,40.438922,111.34
-80.001,40.438877,111.05
-80.0015,40.438822,110.77
-80.001,40.43878,110.49
-80.0012,40.438732,110.21
-80.0011,40.438691,109.93
-80.001,40.438649,109.65
-80.0009,40.438605,109.37
-80.0008,40.43856,109.09
-80.0007,40.438515,108.8
-80.0006,40.43847,108.52
-80.0005,40.438429,108.24
-80.0003,40.438384,107.96
-80.0002,40.438342,107.68
-80.0001,40.438297,107.4
-80,40.438253,107.12
-79.999,40.438198,106.84
-79.9997,40.43813,106.55
-79.9996,40.438091,106.27
-79.9994,40.438048,105.99
-79.9993,40.438006,105.71
-79.9992,40.437961,105.43
-79.999,40.437886,105.15
-79.9988,40.437834,104.87
-79.9987,40.437787,104.59
-79.9986,40.437742,104.3
-79.9985,40.43769,104.02
-79.9983,40.437639,103.74
-79.998,40.437589,103.46
-79.998,40.437534,103.18
-79.9978,40.437436,102.9
-79.9977,40.437393,102.62
-79.9976,40.437351,102.34
-79.9975,40.437309,102.05
-79.9974,40.437263,101.77
-79.9972,40.437216,101.49
-79.9971,40.437174,101.21
-79.997,40.437128,100.93
-79.9969,40.437081,100.65
-79.9968,40.437033,100.37
-79.9967,40.43699,100.09
-79.9965,40.436944,99.8
-79.9964,40.436904,99.52
-79.9963,40.436866,99.24
-79.9962,40.436828,98.96
-79.996,40.436767,98.68
-80.0043,40.440534,120.34
-80.0042,40.440493,123.84
-80.0041,40.440447,123.56
-80.004,40.440403,123.28
-80.003,40.440356,123
-80.0037,40.440317,122.72
-80.0036,40.440276,122.44
-80.0035,40.440232,122.16
-80.0034,40.440191,121.87
-80.0033,40.440148,121.59
-80.0032,40.440105,121.31
-80.0031,40.440062,121.03
-80.0029,40.440018,120.75
-80.0028,40.439972,120.47
-80.0039,40.441158,119.23
-80.003,40.441082,122.73
-80.0035,40.441034,122.45
-80.0034,40.440983,122.17
-80.0032,40.44091,121.89
-80.0031,40.440869,121.61
-80.0029,40.440794,121.33
-80.0027,40.440737,121.05
-80.0025,40.440685,120.76
-80.0024,40.440651,120.48
-80.0023,40.440618,120.2
-80.0021,40.440577,119.92
-80.0019,40.440507,119.64
-80.0018,40.440463,119.36
-80.0017,40.44042,119.08
-80.0016,40.440382,118.8
-80.001,40.440342,118.51
-80.0014,40.440304,118.23
-80.0012,40.440264,117.95
-80.001,40.440222,117.67
-80.001,40.440182,117.39
-80.0009,40.440142,117.11
-80.0008,40.440097,116.83
-80,40.440032,116.55
-80.0005,40.439989,116.26
-80.0004,40.439948,115.98
-80.0002,40.439903,115.7
-80.0001,40.439855,115.42
-80,40.439803,115.14
-79.9999,40.439763,114.86
-79.9998,40.439722,114.58
-79.9997,40.439683,114.3
-79.9995,40.439642,114.01
-79.9994,40.439602,113.73
-79.999,40.439563,113.45
-79.9992,40.439512,113.17
-79.9991,40.439432,112.89
-79.998,40.439353,112.61
-79.9988,40.439312,112.33
-79.9987,40.439266,112.05
-79.9986,40.439218,111.76
-79.9984,40.439173,111.48
-79.9983,40.439127,111.2
-79.9982,40.439079,110.92
-79.9981,40.439035,110.64
-79.9979,40.43896,110.36
-79.9978,40.438916,110.08
-79.9977,40.438864,109.8
-79.9976,40.438816,109.51
-79.9975,40.43876,109.23
-79.9973,40.438705,108.95
-79.9972,40.438658,108.67
-79.9971,40.438595,108.39
-79.996,40.438545,108.11
-79.9968,40.438505,107.83
-79.9967,40.438461,107.55
-79.9966,40.438416,107.26
-79.9965,40.438366,106.98
-79.9963,40.438314,106.7
-79.9962,40.438265,106.42
-79.996,40.438198,106.14
-79.9958,40.43814,105.86
-79.9957,40.438101,105.58
-79.9999,40.441455,118.67
-79.9997,40.44141,122.17
-79.9996,40.441366,121.89
-79.9995,40.441324,121.61
-79.9994,40.441281,121.33
-79.9993,40.44124,121.05
-79.9992,40.441197,120.77
-79.999,40.441155,120.49
-79.9989,40.441071,120.2
-79.9987,40.441029,119.92
-79.9986,40.440986,119.64
-79.9985,40.440944,119.36
-79.9984,40.440901,119.08
-79.998,40.440857,118.8
-79.9981,40.440794,118.52
-80.0001,40.442355,118.19
-79.9999,40.442264,121.69
-79.9997,40.442201,121.41
-79.9996,40.442162,121.13
-79.9994,40.442097,120.85
-79.999,40.442038,120.57
-79.9991,40.441992,120.29
-79.999,40.441947,120.01
-79.9989,40.441908,119.72
-79.9988,40.441856,119.44
-79.9986,40.441805,119.16
-79.9985,40.441761,118.88
-79.9984,40.44171,118.6
-79.9982,40.44166,118.32
-79.9981,40.441613,118.04
-79.998,40.44157,117.76
-79.9979,40.441524,117.47
-79.9977,40.441448,117.19
-79.9975,40.441393,116.91
-79.997,40.441353,116.63
-79.9973,40.441311,116.35
-79.9972,40.441264,116.07
-79.9971,40.441217,115.79
-79.997,40.441172,115.51
-79.9968,40.441132,115.22
-79.9967,40.441086,114.94
-79.9966,40.441045,114.66
-79.9965,40.441002,114.38
-79.9963,40.440955,114.1
-79.9962,40.440913,113.82
-79.996,40.440873,113.54
-79.996,40.440832,113.26
-79.9958,40.440778,112.97
-79.9957,40.44072,112.69
-79.9956,40.440674,112.41
-79.9955,40.440635,112.13
-79.9953,40.4406,111.85
-79.9952,40.440569,111.57
-79.9951,40.440539,111.29
-79.995,40.440496,111.01
-79.9948,40.44046,110.72
-79.9947,40.44043,110.44
-79.9945,40.440345,110.16
-79.9944,40.440292,109.88
-79.9943,40.440214,109.6
-79.9942,40.440124,109.32
-79.994,40.440018,109.04
-79.9939,40.440054,108.76
-79.9938,40.440095,108.47
-79.9937,40.440125,108.19
-79.9935,40.440126,107.91
-79.993,40.440184,107.63
-79.9931,40.440231,107.35
-79.993,40.440271,107.07
-79.9929,40.440307,106.79
-79.9928,40.440343,106.51
-79.9926,40.440385,106.22
-79.9924,40.44041,105.94
-79.992,40.440422,105.66
-79.992,40.440427,105.38
-79.9919,40.440429,105.1
-79.9918,40.440431,104.82
-79.9915,40.440435,104.54
